Each set of parameters were called 10000 times
(The parameters in first column are: popsize, iterlimit , crossover, mutation, elitism)

|Parameters|best|worst|average|avg_value iterations|
|---|---|---|---|---|
|10, 1000, 75%, 2%, 10%|0.00002001|32.01010055|6.3335|12.3379|
|15, 1000, 75%, 2%, 10%|0.00000112|19.28972011|2.8217|15.8243|
|20, 1000, 75%, 2%, 10%|0.00000006|21.85844078|2.415|15.7424|
|25, 1000, 75%, 2%, 10%|0.00000002|13.29979748|1.8065|18.1437|
|30, 1000, 75%, 2%, 10%|0.00000000|11.81844551|1.498|18.3199|
|15, 1000, 65%, 2%, 10%|0.00000006|20.11202449|3.3595|14.3465|
|15, 1000, 70%, 2%, 10%|0.00000027|21.12426984|3.0595|14.9389|
|15, 1000, 75%, 2%, 10%|0.00000010|19.52447273|2.3921|15.6774|
|15, 1000, 80%, 2%, 10%|0.00000007|20.727604|2.622|16.6387|
|15, 1000, 85%, 2%, 10%|0.00000152|17.38864987|2.405|17.5852|
|15, 1000, 75%, 1%, 10%|0.00000477|20.42293935|3.0291|14.7323|
|15, 1000, 75%, 4%, 10%|0.00000002|17.34905964|1.8788|21.5781|
|15, 1000, 75%, 6%, 10%|0.00000000|17.08713949|1.7418|25.1558|
|15, 1000, 75%, 8%, 10%|0.00000033|16.08830616|1.8871|26.737|
|15, 1000, 75%, 10%, 10%|0.00000000|18.2403492|1.6417|34.3822|
|15, 1000, 75%, 2%, 5%|0.00006371|32.05226712|4.8057|18.7386|
|15, 1000, 75%, 2%, 15%|0.00000307|23.87483776|3.7005|14.002|
|15, 1000, 75%, 2%, 20%|0.00000028|18.17798413|2.6726|14.487|
|15, 1000, 75%, 2%, 25%|0.00000141|21.04741757|4.057|12.7929|
|15, 1000, 75%, 2%, 30%|0.00000591|22.2225075|4.349|12.9463|
